mean reward before training:3.463863814994677
mean reward at round 0:19.207375362699025
mean reward at round 1:35.18174835779099
mean reward at round 2:15.89599395328452
mean reward at round 3:18.2566498680047
mean reward at round 4:54.27806211554972
mean reward at round 5:59.54985038577723
mean reward at round 6:81.96460988844447
mean reward at round 7:93.53690856501555
mean reward at round 8:70.1642644927732
mean reward at round 9:65.45675911877537
mean reward at round 10:52.553575978752285
mean reward at round 11:87.09308287831051
mean reward at round 12:50.63650376764778
mean reward at round 13:81.93860989770232
mean reward at round 14:72.84705876880885
mean reward at round 15:71.74999789885997
mean reward at round 16:84.96880756242336
mean reward at round 17:86.90942967879336
mean reward at round 18:88.54230544119036
mean reward at round 19:110.96674371067411
mean reward at round 20:86.61658322941221
mean reward at round 21:101.22477489521279
mean reward at round 22:93.93807120704939
mean reward at round 23:79.46973377465588
mean reward at round 24:75.81218397075088
mean reward at round 25:81.55409571118288
mean reward at round 26:68.65346931323887
mean reward at round 27:66.73895894488876
mean reward at round 28:70.60666268219288
mean reward at round 29:66.94209203072347
mean reward at round 30:83.90174686836464
mean reward at round 31:96.00707562302078
mean reward at round 32:114.9845772219667
mean reward at round 33:108.97265407382388
mean reward at round 34:93.59780171197707
mean reward at round 35:108.4136197495637
mean reward at round 36:100.13228042571733
mean reward at round 37:105.87932429618411
mean reward at round 38:109.13634521713979
mean reward at round 39:94.2715519076978
mean reward at round 40:103.39538029533965
mean reward at round 41:124.50570393389098
mean reward at round 42:95.94671648748579
mean reward at round 43:109.24757124372412
mean reward at round 44:115.06399860526399
mean reward at round 45:115.45751207314929
mean reward at round 46:105.92527059060447
mean reward at round 47:83.81821211035648
mean reward at round 48:108.33998953588323
mean reward at round 49:110.6516627314069
mean reward at round 50:121.68602355282307
mean reward at round 51:105.46341594504355
mean reward at round 52:118.37224589189401
mean reward at round 53:129.09620232231742
mean reward at round 54:127.19715635582443
mean reward at round 55:112.50724961250282
mean reward at round 56:122.28273329848423
mean reward at round 57:120.43489634598478
mean reward at round 58:112.95009722967464
mean reward at round 59:114.76495009030339
mean reward at round 60:110.78352538660407
mean reward at round 61:124.1103992173003
mean reward at round 62:126.8928354532814
mean reward at round 63:126.97509807022888
mean reward at round 64:129.55551957438266
mean reward at round 65:118.74778718848484
mean reward at round 66:120.97431229825949
mean reward at round 67:115.96140580076586
mean reward at round 68:114.7741430625575
mean reward at round 69:122.36127539393355
mean reward at round 70:121.44011041160036
mean reward at round 71:122.20192943599962
mean reward at round 72:122.05516696655508
mean reward at round 73:120.930036005025
mean reward at round 74:116.66181755625902
mean reward at round 75:119.9168962915391
mean reward at round 76:125.1771692090976
mean reward at round 77:124.23559439016762
